months,price,usd/vnd,usd/thb
1,193,,
2,197,,
3,213,,
4,202,,22.99
5,202,,22.99
6,191,,22.99
7,188,,22.99
8,186,,22.99
9,178,,23.04
10,177,,23
11,179,,23
12,185,,23.01
13,191,,23.01
14,191,,23.01
15,179,,23
16,180,,23.02
17,180,,23.02
18,172,,23
19,178,,23.02
20,193,,27.05
21,204,,27.15
22,204,,27.4
23,202,,28.1
24,198,,27.57
25,196,,27.54
26,190,,27.55
27,208,,27.45
28,255,,26.79
29,272,,26.88
30,260,,26.35
31,261,,26.56
32,297,,26.17
33,311,,26.7
34,299,,26.57
35,294,,26.37
36,262,,26.49
37,273,,26.3
38,279,,26.48
39,273,,26.32
40,274,,26.13
41,279,,26.16
42,279,,26.08
43,278,,26.26
44,265,,26.25
45,268,,26.27
46,276,,25.86
47,282,,25.93
48,298,,25.74
49,316,,25.59
50,337,,25.75
51,359,,25.86
52,292,,25.98
53,337,,25.74
54,328,,25.85
55,314,,25.61
56,279,,25.37
57,279,,25.09
58,284,,25.25
59,307,,25.32
60,297,,25.16
61,284,,25.15
62,268,,25.21
63,264,,25.49
64,265,,25.49
65,292,,25.57
66,268,,25.57
67,269,,25.26
68,290,,25.08
69,280,,25.2
70,272,,25.41
71,311,,25.38
72,337,,25.5
73,321,,25.53
74,295,,25.92
75,298,,25.96
76,303,,25.76
77,313,,25.99
78,296,,25.81
79,309,,25.86
80,300,,25.68
81,284,,25.57
82,283,,25.59
83,276,,25.68
84,286,,25.86
85,287,,25.87
86,286,,25.81
87,287,,25.76
88,282,,25.59
89,278,,25.45
90,289,,25.34
91,287,,24.94
92,279,,24.94
93,266,,25.15
94,260,,25
95,262,,25.09
96,265,,25.45
97,270,,25.5
98,267,,25.625
99,243,,25.71
100,216,,25.72
101,194,,25.71
102,199,,25.56
103,209,,25.58
104,244,,25.47
105,218,,25.27
106,216,,25.38
107,272,,25.51
108,337,,25.61
109,334,,25.62
110,376,,25.45
111,390,,25.3
112,330,,25.32
113,331,,25.14
114,259,,25.12
115,232,,25.36
116,237,,25.53
117,294,,25.525
118,259,,25.48
119,267,,25.44
120,272,,25.34
121,272,,25.21
122,270,,25.13
123,282,,25.26
124,289,,25.25
125,292,,25.16
126,290,,25.21
127,299,,25.34
128,333,,25.45
129,353,,25.515
130,290,,25.465
131,346,,25.32
132,368,,25.23
133,393,,25.18
134,354,,25.2
135,347,"11,051.00",25.01
136,372,"11,046.00",25.02
137,377,"11,039.00",25.04
138,373,"11,030.50",24.975
139,342,"11,022.50",24.923
140,347,"11,006.00",25.054
141,360,"11,010.00",25.105
142,370,"11,011.00",25.07
143,362,"11,012.50",24.94
144,346,"11,012.50",24.625
145,341,"11,013.00",24.58
146,324,"11,013.00",24.68
147,325,"11,011.50",24.685
148,330,"11,014.00",24.755
149,367,"11,020.00",25.04
150,359,"11,019.50",25.095
151,341,"11,030.50",25.165
152,319,"11,065.00",25.17
153,335,"11,094.50",25.19
154,335,"11,150.50",25.342
155,332,"11,182.50",25.21
156,338,"11,204.50",25.25
157,296,"11,650.50",25.261
158,280,"11,656.00",25.325
159,275,"11,660.00",25.397
160,261,"11,667.50",25.221
161,274,"11,682.50",25.303
162,299,"11,697.00",25.423
163,307,"11,718.50",25.515
164,306,"12,245.00",25.545
165,326,"12,286.50",25.652
166,328,"12,292.00",25.91
167,338,"12,290.50",25.892
168,337,"12,973.00",25.96
169,302,"12,979.00",26.125
170,334,"12,984.50",24.9
171,332,"12,983.00",24.7
172,306,"12,985.50",32.25
173,278,"12,994.00",34.25
174,283,"13,907.50",35.8
175,308,"13,904.00",40.3
176,287,"13,906.00",40.7
177,263,"13,885.00",47.05
178,242,"13,893.00",52.95
179,252,"13,880.00",43.05
180,262,"13,892.00",39.125
181,259,"13,902.00",38.55
182,284,"13,908.50",40.39
183,253,"13,912.50",42.2
184,235,"13,932.50",40.8
185,223,"13,948.00",41.9
186,236,"13,962.00",39.55
187,240,"13,994.00",36.8
188,248,"14,009.50",36.15
189,251,"14,016.00",36.35
190,235,"14,028.50",36.85
191,225,"14,052.00",37.325
192,211,"14,057.00",37.585
193,210,"14,061.00",37.1
194,199,"14,068.00",37.135
195,230,"14,084.00",36.845
196,193,"14,083.00",37.2
197,185,"14,092.00",38.345
198,193,"14,120.00",40.9
199,191,"14,214.00",38.625
200,190,"14,402.00",39.035
201,190,"14,523.00",37.5
202,190,"14,539.00",37.545
203,182,"14,570.00",38.125
204,170,"14,589.00",37.815
205,172,"14,569.00",38.085
206,177,"14,591.00",39.175
207,177,"14,686.00",39.195
208,184,"14,869.00",41.305
209,174,"14,968.00",40.895
210,178,"15,018.00",42.145
211,174,"15,028.00",43.95
212,178,"15,057.00",43.78
213,184,"15,092.00",43.4
214,197,"15,108.00",42.5
215,201,"15,121.00",43.1
216,198,"15,141.00",45.025
217,196,"15,190.00",45.65
218,204,"15,220.50",45.375
219,208,"15,249.50",45.3
220,205,"15,274.00",45.72
221,191,"15,320.00",44.05
222,197,"15,330.00",44.45
223,192,"15,344.00",44.71
224,192,"15,361.50",43.935
225,193,"15,383.50",44.235
226,191,"15,401.00",44.065
227,206,"15,431.00",43.675
228,204,"15,429.50",43.47
229,201,"15,453.50",43.245
230,200,"15,464.00",42.34
231,204,"15,473.50",41.525
232,208,"15,497.00",42.025
233,205,"15,514.00",42.24
234,199,"15,520.00",43.275
235,200,"15,554.00",43.315
236,202,"15,642.00",43.495
237,201,"15,626.00",43.13
238,198,"15,642.00",42.795
239,203,"15,695.00",42.79
240,220,"15,754.00",42.835
241,220,"15,721.00",42.785
242,244,"15,717.50",41.715
243,247,"15,741.00",42.095
244,239,"15,721.50",41.985
245,234,"15,748.00",41.145
246,236,"15,760.00",40.03
247,220,"15,745.00",39.95
248,244,"15,750.00",39.925
249,240,"15,773.00",39.624
250,249,"15,773.00",39.255
251,264,"15,786.00",39.275
252,283,"15,803.00",39.245
253,292,"15,819.00",40.05
254,296,"15,828.00",40.55
255,298,"15,860.00",40.935
256,302,"15,851.00",41.3
257,300,"15,878.00",41.625
258,291,"15,872.00",41.4
259,281,"15,900.00",41.04
260,278,"15,896.00",39.415
261,288,"15,908.00",38.874
262,291,"15,914.00",38.55
263,292,"15,918.00",38.24
264,283,"15,910.00",39.12
265,286,"15,925.00",39.445
266,299,"15,942.50",40.63
267,307,"15,957.50",41.325
268,309,"15,996.00",41.655
269,308,"16,006.00",41.278
270,314,"16,014.00",41.045
271,319,"16,050.00",40.78
272,321,"16,070.00",41.245
273,301,"16,070.00",41.025
274,319,"16,056.00",38.93
275,318,"16,050.00",39.11
276,307,"16,001.00",38.875
277,302,"16,015.00",37.53
278,312,"16,048.00",38.155
279,320,"16,089.00",38.12
280,323,"16,131.00",37.86
281,327,"16,140.00",37.58
282,324,"16,240.00",37.565
283,325,"16,080.00",36.688
284,331,"16,069.00",35.895
285,335,"16,040.00",35.45
286,320,"16,028.00",34.75
287,334,"15,970.00",34.025
288,332,"15,930.50",32.325
289,337,"16,110.00",32.85
290,349,"16,122.00",32.9
291,368,"16,246.00",31.7
